ID,ImageType
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,0
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,1
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,1
49,1
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,0
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,0
110,1
111,1
112,0
113,1
114,1
115,0
116,1
117,0
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,0
158,1
159,1
160,0
161,0
162,0
163,1
164,0
165,1
166,1
167,1
168,1
169,1
170,0
171,0
172,1
173,0
174,1
175,1
176,0
177,0
178,0
179,1
180,1
181,0
182,1
183,1
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,0
192,0
193,1
194,1
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,1
205,0
206,0
207,0
208,1
209,1
210,1
211,0
212,0
213,1
214,0
215,0
216,1
217,1
218,0
219,1
220,1
221,0
222,0
223,1
224,0
225,1
226,1
227,0
228,1
229,1
230,0
231,1
232,0
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,0
242,0
243,1
244,1
245,1
246,0
247,0
248,1
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,0
259,1
260,1
261,0
262,0
263,1
264,1
265,0
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,0
285,0
286,1
287,0
288,1
289,1
290,0
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,1
299,1
300,1
301,0
302,1
303,1
304,1
305,0
306,0
307,0
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,1
320,0
321,1
322,1
323,1
324,0
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,0
341,1
342,1
343,0
344,1
345,1
346,1
347,1
348,0
349,1
350,1
351,1
352,0
353,1
354,1
355,0
356,1
357,1
358,1
359,1
360,0
361,1
362,0
363,0
364,1
365,0
366,1
367,1
368,0
369,1
370,1
371,0
372,0
373,0
374,1
375,1
376,0
377,1
378,1
379,0
380,1
381,0
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,1
408,0
409,1
410,1
411,0
412,1
413,0
414,1
415,0
416,1
417,1
418,1
419,1
420,0
421,0
422,1
423,0
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,1
434,1
435,0
436,1
437,1
438,1
439,0
440,1
441,1
442,1
443,0
444,0
445,1
446,1
447,1
448,1
449,1
450,0
451,0
452,0
453,1
454,1
455,1
456,0
457,0
458,1
459,1
460,1
461,1
462,1
463,0
464,0
465,1
466,1
467,0
468,1
469,1
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,1
478,0
479,1
480,0
481,1
482,1
483,0
484,1
485,1
486,0
487,0
488,1
489,1
490,0
491,0
492,0
493,0
494,1
495,1
496,0
497,0
498,1
499,1
500,0
